ICAO,Name,Category,Color,Distance,METAR
KIAB,Wichita,VFR,green,129.89795699117713,KIAB 091155Z 08008KT 10SM 19/16 A2993 RMK AO2 SLP126 T01910163 10222 20190 53004 $
KICT,Wichita,LIFR,purple,131.08796609398388,KICT 091153Z 09006KT 10SM FEW060 SCT110 19/16 A2994 RMK AO2 SLP125 CB DSNT NW-N-NE MOV NE T01890161 10233 20183 53003
KIDP,Independence,LIFR,purple,131.81199304302336,KIDP 091155Z 13004KT 10SM OVC018 20/17 A2997 RMK AO2 LTG DSNT NE T02040168 10209 20178
KJSV,Sallisaw,LIFR,purple,132.72573269185347,KJSV 091155Z 09005KT 6SM BR BKN026 19/19 A2997 RMK AO2 LTG DSNT N
K3AU,Augusta,VFR,green,134.00748912929342,K3AU 091155Z 08005KT 10SM 18/16 A2996 RMK AO2
KBEC,Wichita,LIFR,purple,134.4913877943187,KBEC 091155Z 07007KT 10SM SCT014 18/17 A2996 RMK AO2 T01830165 10210 20175
KCFV,Coffeyville,LIFR,purple,135.61412393951372,KCFV 091152Z 00000KT 10SM BKN019 19/17 A2996 RMK AO2 SLP138 T01890167 10200 20183 53007 $
KDTO,Denton,VFR,green,137.01809432351035,KDTO 091153Z 12005KT 6SM BR 21/21 A2990 RMK AO2 SLP117 T02110206 10239 20211 51012
KRKR,Poteau,LIFR,purple,144.45854427811952,KRKR 091155Z 00000KT 5SM BR OVC020 18/17 A2999 RMK AO2
KTKI,DALLAS,LIFR,purple,144.93634661820772,KTKI 091153Z 09005KT 9SM OVC012 20/19 A2993 RMK AO2 SLP132 T02000189 10233 20194 53014
KPTT,Pratt,VFR,green,146.65982061270668,KPTT 091155Z 09007KT 10SM 18/14 A2994 RMK AO2 T01800135 10202 20175
KPPF,Parsons,LIFR,purple,148.1122264571769,KPPF 091207Z 00000KT 10SM SCT021 19/15 A3000 RMK AO2 T01890150
KAFW,Fort Worth,LIFR,purple,149.2232658336722,KAFW 091153Z 12004KT 5SM BR FEW013 SCT250 21/20 A2989 RMK AO2 SLP107 T02110200 10233 20211 53010
KCDS,Childress,VFR,green,149.84688483751924,KCDS 091153Z 13005KT 10SM 17/14 A2991 RMK AO2 SLP105 T01670139 10239 20167 53014
KPRX,Paris,VFR,green,150.05475502500806,KPRX 091156Z 11007KT 10SM -RA 19/19 A2998 RMK AO2 SLP150 P0000 60000 T01890189 10217 20189 53017
KGMJ,Grove,IFR,red,151.20841974779145,KGMJ 091155Z 00000KT 2 1/2SM BR 18/18 A2997 RMK AO2 LTG DSNT NE
KADS,Addison,VFR,green,153.79107297921013,KADS 091147Z 11006KT 10SM 21/18 A2992
KFSM,Fort Smith,VFR,green,154.30422471250534,KFSM 091153Z 00000KT 5SM BR 20/19 A2998 RMK AO2 SLP146 7//// T02000189 10228 20189 53016
KEWK,Newton,VFR,green,155.97546662018001,KEWK 091156Z 07008KT 10SM 17/15 A2998 RMK AO2 SLP139 T01670150 10200 20167 53006
KDFW,Dallas-Fort Worth,LIFR,purple,156.1696843099146,KDFW 091153Z 10006KT 8SM FEW013 SCT250 21/20 A2989 RMK AO2 SLP114 70010 T02110200 10233 20206 53009
KHUT,Hutchinson,VFR,green,156.85492608138352,KHUT 091152Z 06007KT 10SM 17/14 A2994 RMK AO2 SLP119 T01720139 10206 20161 50003
KFTW,Fort Worth,VFR,green,159.15928841437062,KFTW 091153Z 15005KT 6SM BR 22/21 A2989 RMK AO2 SLP110 T02170206 10228 20211 53010
KDAL,Dallas,LIFR,purple,160.76241146009482,KDAL 091153Z 15004KT 8SM FEW250 21/19 A2991 RMK AO2 SLP121 70023 T02110189 10233 20211 53008 $
KGVT,Greenvile,LIFR,purple,161.06795374652435,KGVT 091155Z 15007KT 10SM SCT009 19/18 A2995 RMK AO2 TSNO T01890183 10214 20187
KNFW,Dallas,LIFR,purple,162.0561857772076,KNFW 091152Z 16008KT 7SM FEW011 SCT250 21/20 A2989 RMK AO2 SLP106 WND DATA ESTMD T02110200 10228 20211 53010 VISNO S $
KMWL,Mineral Wells,VFR,green,163.5171482942775,KMWL 091153Z 10005KT 10SM 18/17 A2988 RMK AO2 SLP104 T01780167 10228 20178 51008
KXNA,Bentonville,LIFR,purple,163.61481699573278,KXNA 091200Z 00000KT 3SM MIFG BR FEW012 18/17 A3000 RMK AO2 T01830172
KCNU,Chanute,LIFR,purple,164.4924209159965,KCNU 091152Z 06008KT 10SM SCT046 18/16 A3000 RMK AO2 LTG DSNT N SLP150 60004 70004 T01830161 10222 20172 53008
KFYV,Fayetteville,MVFR,blue,166.23750941487998,KFYV 091153Z 00000KT 3SM BR 17/16 A3000 RMK AO2 SLP146 T01720161 10200 20156 53009
KVBT,Bentonville,VFR,green,168.77626129896606,KVBT 091156Z 00000KT 5SM BR 19/18 A3002 RMK AO2 SLP157 T01890183 10222 20183 53009
